Titel,Datum,Fehlercode,Fehlertext
Aerospace Connect,2025-05-06T17:30,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""b149e042-0e56-410c-8c32-2a73178275d9""}"
"SPICE - Special Edition Japan ""Bavarian Night""",2025-05-07T18:30,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""f23260be-4545-4974-82bb-f3c27c38fa11""}"
Open House Session,2025-05-08T11:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""58f346d8-a772-4997-91a6-f26e78713bf5""}"
Founder Legal Boot Camp 2025: Munich Edition,2025-05-09T09:15,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""b6f50bc3-a05c-4fda-b03f-ce12fdaf153d""}"
11th Munich AMeetUP: AM x CleanTech,2025-05-14T18:30,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""1ba087f5-bc55-4941-89a4-6a149237a3ef""}"
The Weihenstephan Entrepreneurship Day,2025-05-15T10:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""2a816549-616b-49b9-99bd-b222ab957329""}"
FAN Kick OFF,2025-05-15T18:30,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""f749388e-7325-4788-9843-c1fed4eb2616""}"
Talent joins growth company,2025-05-19T17:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""212307c3-4c50-408b-8003-97468c2c6fd9""}"
Urban Tech Meetup Pitch & Progress (May 2025),2025-05-20T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""9346e6d8-0ffe-4493-9263-9d416edaebf6""}"
2nd Software/AI Start-Up Roundtable,2025-05-21T18:30,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""e0446986-2856-410e-81ba-bd9d037ab91a""}"
